Sent_ID	Token	POS_Tag
0	blok	NOUN
0	strukturası	NOUN
0	,	PUNCT
0	bunda	PRON
0	ózgeriwshiler	NUM
0	óz	NUM
0	blogına	NOUN
0	lokal	ADJ
0	boldı	VERB
1	1973	PROPN
1	-	PUNCT
1	jılı	PROPN
1	20	NUM
1	-	PUNCT
1	iyulde	NOUN
1	Li	ADP
1	Gonkongta	PROPN
1	aktyor	PROPN
1	Djordj	PROPN
1	Lazenbi	PROPN
1	menen	ADP
1	keshki	NUM
1	awqatlanıw	VERB
1	ushın	ADP
1	kelgen	VERB
1	edi	AUX
1	,	PUNCT
1	ol	PRON
1	Lazenbi	PROPN
1	menen	ADP
1	film	NOUN
1	túsiriwdi	VERB
1	jobalastırǵan	VERB
1	edi	AUX
1	.	PUNCT
2	Bir	NUM
2	-	PUNCT
2	birine	NUM
2	uqsas	NUM
2	kóplegen	VERB
2	obyektler	NOUN
2	jaratıw	VERB
2	ushın	ADP
2	bizge	NUM
2	klasslar	NOUN
2	kerek	ADJ
2	emes	AUX
2	...	PUNCT
3	Oyınǵa	NOUN
3	baylanıslı	ADJ
3	,	PUNCT
3	jetiskenlikler	NOUN
3	dizimi	NOUN
3	bolıwı	NUM
3	múmkin	NOUN
3	,	PUNCT
3	onda	NUM
3	oyınshı	NUM
3	óz	NUM
3	balların	NOUN
3	dosları	NOUN
3	yamasa	NUM
3	dúnya	NUM
3	menen	ADP
3	salıstıra	VERB
3	aladı	VERB
3	.	PUNCT
4	2020	NOUN
4	-	PUNCT
4	jıldıń	NOUN
4	28	NUM
4	-	PUNCT
4	noyabrinde	NUM
4	Mayk	PROPN
4	Tayson	PROPN
4	hám	CCONJ
4	Roy	PROPN
4	Djons	PROPN
4	kishi	NUM
4	teńbe	PROPN
4	-	PUNCT
4	teń	NOUN
4	nátiyje	PROPN
4	menen	ADP
4	juwmaqlanǵan	VERB
4	jekpe	NOUN
4	-	PUNCT
4	jek	NOUN
4	ótkerdi	VERB
4	.	PUNCT
5	Olar	PRON
5	sonday	NOUN
5	-	PUNCT
5	aq	NUM
5	kompaniyalarǵa	NUM
5	botlardı	NUM
5	óz	NUM
5	jumıslarında	NUM
5	ámelge	NOUN
5	asırıwǵa	VERB
5	járdemlese	NOUN
5	aladı	VERB
5	.	PUNCT
6	RESTORE	NOUN
7	Sol	ADJ
7	waqıtta	NOUN
7	sensorlı	ADJ
7	ekranlı	ADJ
7	Android	NOUN
7	qurılmaları	NOUN
7	ushın	ADP
7	qollap	NOUN
7	-	PUNCT
7	quwatlanatuǵın	VERB
7	kontrollerdi	VERB
7	paydalanıwǵa	VERB
7	alternativa	NOUN
7	sıpatında	NOUN
7	sensorlı	ADJ
7	basqarıwlar	VERB
7	qoljetimli	NOUN
7	boldı	VERB
7	.	PUNCT
8	Negizinde	NOUN
8	,	PUNCT
8	tereń	NOUN
8	oqıtıw	VERB
8	-	PUNCT
8	bul	NUM
8	kiris	NOUN
8	maǵlıwmatlardı	VERB
8	azǵana	NUM
8	abstrakt	NUM
8	hám	CCONJ
8	quramalı	NUM
8	kórsetiwge	VERB
8	ózgertiwge	VERB
8	qatlamlar	NUM
8	ierarxiyası	NUM
8	qollanılatuǵın	VERB
8	mashinalıq	NUM
8	oqıtıw	VERB
8	algoritmleriniń	NOUN
8	klassı	NOUN
8	.	PUNCT
9	Tiykarǵı	NUM
9	yad	NOUN
9	,	PUNCT
9	yadqa	NOUN
9	sáykeslendirilgen	VERB
9	kirgiziw/shıǵarıw	VERB
9	,	PUNCT
9	sonday	NOUN
9	-	PUNCT
9	aq	NOUN
9	virtual	NOUN
9	yad	NOUN
9	ushın	ADP
9	yad	NOUN
9	adresleri	NOUN
9	;	PUNCT
10	Mısalı	NOUN
10	,	PUNCT
10	postfiks	NUM
10	jazıwı	NUM
10	kóbeytiw	VERB
10	,	PUNCT
10	2	NUM
10	,	PUNCT
10	3	NUM
10	(	PUNCT
10	prefiks	NOUN
10	yamasa	NOUN
10	Polyak	PROPN
10	jazıwı	NOUN
10	)	PUNCT
10	yamasa	NUM
10	2	NUM
10	kóbeytiw	VERB
10	3	NUM
10	(	PUNCT
10	infiks	NOUN
10	jazıwı	NOUN
10	)	PUNCT
10	ornına	NUM
10	2	NUM
10	,	PUNCT
10	3	NUM
10	,	PUNCT
10	kóbeytiw	VERB
10	dep	NOUN
10	jazıladı	VERB
10	.	PUNCT
11	Kóteriliw	VERB
11	jiyegi	PROPN
11	-	PUNCT
11	bul	PROPN
11	tómen	PROPN
11	kernewden	PROPN
11	(	PUNCT
11	diagrammada'ǵı	NOUN
11	1-	PUNCT
11	dáreje	NOUN
11	)	PUNCT
11	joqarı	NOUN
11	kernewge	PROPN
11	(	PUNCT
11	2	NUM
11	-	PUNCT
11	dáreje	NOUN
11	)	PUNCT
11	ótiw	VERB
11	.	PUNCT
12	Degen	PROPN
12	menen	ADP
12	parametr	NOUN
12	járiyalanıwları	NOUN
12	ushın	ADP
12	sintaksis	NOUN
12	C++	NOUN
12	-'te	PUNCT
12	qollanılǵan	VERB
12	stilge	NUM
12	sáykes	NUM
12	keńeytilgen	VERB
12	bolsa	VERB
12	da	CCONJ
12	,	PUNCT
12	K&R	PROPN
12	interfeysine	NUM
12	bar	NOUN
12	bolǵan	VERB
12	derek	NOUN
12	kodı	NOUN
12	menen	ADP
12	sáykeslik	NUM
12	ushın	ADP
12	ruqsat	NUM
12	beriliwi	NOUN
12	dawam	NOUN
12	etti	VERB
12	.	PUNCT
13	Mısalı	NOUN
13	,	PUNCT
13	1986	PROPN
13	-	PUNCT
13	87	NUM
13	-	PUNCT
13	jıllarda'ǵı	NOUN
13	Eshes	PROPN
13	turnirini'ń	NOUN
13	Brisben	PROPN
13	testin	NOUN
13	The	PROPN
